Feature,Importance,Group,NormImportance,Î”F1_norm
hue_spread,0.13499576004352637,Edge/Geometry,1.0,0.1943111492257269
brightness,0.09661972380943835,Retinex,0.7157241366564808,0.3421092880864704
hf_energy_wavelet,0.09419351215814405,Frequency,0.6977516340348279,0.7749465421762176
retinex_mean,0.09186070129811828,Retinex,0.6804710108561917,0.3421092880864704
gradient_entropy,0.08791115953385491,Entropy,0.6512142270654272,1.0
local_contrast,0.08354910220438129,Contrast,0.6189016764485251,0.0
haze_score,0.07888480586615529,Haze-specific,0.5843502480427581,0.0550868920373144
hf_energy_fft,0.07690604605911519,Frequency,0.5696923076274288,0.7749465421762176
edge_density_diff,0.07017857383882035,Edge/Geometry,0.5198576149072596,0.1943111492257269
hist_entropy,0.06915730165731217,Entropy,0.5122923981835721,1.0
color_skew,0.062397304723802935,Contrast,0.4622167740948628,0.0
colorfulness,0.05334600880733083,Contrast,0.3951680318710054,0.0
